Dialect,Precision,Recall,F1,Support
EGY,0.8059,0.7642,0.7845,967
GLF,0.7764,0.7973,0.7867,967
LEV,0.8235,0.7614,0.7912,968
MGH,0.7887,0.8678,0.8264,968
Macro Avg,0.7986,0.7977,0.7972,3870
