Dialect,Precision,Recall,F1,Support
EGY,0.7932,0.7456,0.7687,967
GLF,0.7651,0.7849,0.7749,967
LEV,0.8009,0.7562,0.7779,968
MGH,0.7867,0.8574,0.8206,968
Macro Avg,0.7865,0.786,0.7855,3870
